Year,CO2,GDP,LogGDP,Population,Temperature,Oil,Urbanization,Trade
1960,746.9,3500.272,8.16059595874362,180671000,51.43,126.75488,69.996,9.19743289940048
1961,757.5,3590.066,8.185925865714447,183691000,51.86,118.811424,70.377,8.93820745594694
1962,789.6,3810.124,8.245417013522898,186538000,51.89,117.404015,70.757,8.93473646354838
1963,820,3976.142,8.28806728142444,189242000,52.25,115.96642,71.134,8.96157787815685
1964,844.3,4205.277,8.344095444197027,191889000,51.67,114.502045,71.508,9.206547781265
1965,874.1,4478.555,8.407055728737463,194303000,51.67,112.71532,71.879,9.23667125440563
1966,921,4773.931,8.47092535350568,196560000,51.48,109.41633,72.247,9.57851860411219
1967,967.2,4904.864,8.49798264480569,198712000,51.75,106.4643,72.612,9.68692935005927
1968,1046.2,5145.914,8.545958280692714,200706000,51.31,102.102684,72.974,10.0316564933807
1969,1091.3,5306.594,8.57670547716917,202677000,51.49,96.814316,73.333,10.0555623631933
1970,1131.7,5316.391,8.578549968670867,205052000,51.6,91.47383,73.602,10.7582854049602
1971,1176.3,5491.445,8.610946705699778,207661000,51.65,109.148605,73.613,10.7571790359274
1972,1246.5,5780.048,8.662167266130211,209896000,51.36,117.01407,73.623,11.3406196496001
1973,1312.1,6106.371,8.717087931357302,211909000,52.28,146.20047,73.633,13.0792155894304
1974,1278.2,6073.363,8.711667766875951,213854000,52.26,463.3659,73.643,16.4449863225396
1975,1288.6,6060.875,8.709609458079152,215973000,51.49,422.71573,73.653,15.5163736331565
1976,1350.5,6387.437,8.762088371449622,218035000,51.46,443.78226,73.663,16.0488456356637
1977,1402.9,6682.804,8.80729293893495,220239000,52.54,453.1508,73.673,16.4178946751554
1978,1460.1,7052.711,8.86116736089723,222585000,51.04,424.0473,73.682,16.9728342289651
1979,1449.9,7275.999,8.89233640219985,225055000,50.88,859.3564,73.692,18.3761632042836
1980,1394.9,7257.316,8.889765342494373,227225000,52.38,881.7926,73.738,20.1098446894226
1981,1381.1,7441.485,8.914825704684546,229466000,53.11,779.66815,73.89,19.4259131704272
1982,1350.3,7307.314,8.896631043360058,231664000,51.33,674.105,74.042,17.5368122809184
1983,1356.1,7642.266,8.941449435043053,233792000,51.87,585.3748,74.194,16.6655934803103
1984,1388.3,8195.295,9.01131548808952,235825000,51.97,546.6141,74.344,17.5224074224053
1985,1420.1,8537.004,9.052165405558867,237924000,51.29,505.51892,74.494,16.603906126303
1986,1470.2,8832.611,9.086205946377657,240133000,53.31,259.75183,74.644,16.8979771514343
1987,1517.1,9137.745,9.120168916284083,242289000,53.32,320.11502,74.793,17.9735809845702
1988,1576.7,9519.427,9.161089936898346,244499000,52.62,248.99164,74.942,19.0701007058615
1989,1587.7,9869.003,9.197154114154127,246819000,51.82,290.08484,75.089,19.4151283860195
1990,1583.6,10055.129,9.215838131562547,249623000,53.5,358.2779,75.3,19.8150673537315
1991,1564,10044.238,9.214754415735486,252981000,53.15,289.75784,75.701,19.7864481240974
1992,1587.5,10398.046,9.249373182861554,256514000,52.59,271.6768,76.097,19.9505945023923
1993,1601,10684.179,9.276519328114214,259919000,51.25,231.8019,76.488,20.0446187019752
1994,1640.9,11114.647,9.316019067009583,263126000,52.85,210.55025,76.875,21.0554591617453
1995,1675.9,11413.012,9.342509386985624,266278000,52.65,220.32979,77.257,22.4533816490568
1996,1725.6,11843.599,9.379542831843194,269394000,51.88,259.99207,77.636,22.6870719902412
1997,1745.5,12370.299,9.423053636476787,272657000,52.19,234.6824,78.008,23.4283278026178
1998,1782.4,12924.876,9.466909105520164,275854000,54.22,153.90936,78.377,22.8258939797637
1999,1828.6,13543.774,9.51368223731817,279040000,53.87,212.85115,78.742,23.3135697296238
2000,1884.5,14096.033,9.553648689262891,282162411,53.25,326.4963,79.057,25.1029855568536
2001,1855.8,14230.726,9.563158708756474,284968955,53.68,272.37637,79.234,22.9671830154975
2002,1895.5,14472.712,9.58002022431711,287625193,53.2,274.47885,79.409,22.2863842136065
2003,1912.6,14877.312,9.60759264690749,290107933,53.24,309.2229,79.583,22.6272972866813
2004,1967.5,15449.757,9.645348554046864,292805298,53.08,399.70905,79.757,24.4480566571904
2005,1988.1,15987.957,9.67959103031046,295516599,53.63,550.82886,79.928,25.6385573436769
2006,2019.5,16433.148,9.707055793408609,298379912,54.24,637.5851,80.099,26.9752858058903
2007,2022.2,16762.445,9.72689624645107,301231207,53.64,688.8439,80.269,28.0120155631098
2008,1892.3,16781.485,9.72803147431762,304093966,52.28,891.25726,80.438,29.8677875257061
2009,1827,16349.11,9.701928740593038,306771529,52.38,567.1743,80.606,24.759527635837
2010,1842.4,16789.75,9.728523860145366,309327143,52.98,719.3025,80.772,28.2198829408336
